codigo,valor,populacao,tipoRGF
1100015,53.86,23167,Simplificado
1100023,45.57,106168,Completo
1100031,50.49,5438,Simplificado
1100049,50.33,84813,Completo
1100056,44.47,16444,Completo
1100064,50.24,16227,Simplificado
1100072,45.93,7567,Simplificado
1100080,52.42,17855,Simplificado
1100098,43.8,32047,Simplificado
1100106,60.19,45783,Completo
1100114,44.56,51933,Completo
1100122,47.35,127907,Completo
1100130,46.85,39097,Completo
1100148,49.93,20459,Completo
1100155,52.96,36340,Completo
1100189,44.41,36434,Completo
1100205,50.92,519531,Completo
1100254,54.3,19409,Completo
1100262,49.72,3723,Simplificado
1100288,43.31,54702,Completo
1100296,55.66,6781,Completo
1100304,46.17,97448,Completo
1100320,52.99,22931,Completo
1100338,53.04,29757,Simplificado
1100346,52.78,14722,Simplificado
1100379,54.82,13227,Completo
1100403,50.63,20999,Simplificado
1100452,50.57,38937,Simplificado
1100502,51.68,8751,Simplificado
1100601,49.0,6190,Simplificado
1100700,49.77,14009,Simplificado
1100809,62.54,25983,Completo
1100908,48.86,3119,Simplificado
1100924,49.71,10886,Simplificado
1100940,43.86,24226,Simplificado
1101005,49.22,8095,Simplificado
1101104,46.91,10272,Completo
1101203,50.03,9762,Completo
1101302,46.87,11080,Simplificado
1101401,49.6,15695,Simplificado
1101435,50.25,7047,Simplificado
1101450,50.22,5947,Simplificado
1101468,44.39,2191,Simplificado
1101476,52.85,2939,Simplificado
1101484,46.74,5280,Completo
1101492,39.93,19842,Simplificado
1101500,45.53,11860,Completo
1101559,48.99,4384,Completo
1101609,53.66,10494,Completo
1101708,47.97,11665,Simplificado
1101757,51.64,11028,Completo
1101807,50.88,6998,Completo
1200054,53.78,7300,Completo
1200104,53.82,25848,Completo
1200179,55.39,11456,Completo
1200203,50.55,87673,Completo
1200252,48.34,18122,Completo
1200302,54.45,34675,Completo
1200328,61.78,8159,Completo
1200336,54.0,18638,Completo
1200344,56.06,9336,Completo
1200351,64.28,18430,Completo
